"","Opening Invoice Item","Artículo de Apertura"
"","Opening Account","Cuenta de Apertura"
"","There is already an invoice against row {}","Ya existe una factura contra la fila {}"
"","Merge New Parties","Unir Terceros Nuevos"
"","Merge New Parties?","¿Unir Terceros Nuevos?"
"","Don't create a new party if exists","El sistema no creará un tercero nuevo si este ya existe"
"","Either Customer or Party is required in row {idx}","El Tercero o el Cliente es requerido en la fila {idx}"
"","Bill Date is required if Bill No is provided","El campo Fecha de Factura es requerido si se específica Factura No."
"","Party Portfolio","Cartera de Clientes"
"","Party {} does not exist in row {}","El tercero {} en la linea {} no existe"
"","If a duplicate error ocurrs while inserting the invoices the system will auto-save the work","Si ocurre un error de duplicidades con las facturas, el sistema guardará el progreso"
"","Case File","Archivo de Expediente"
"","Cannot set disable and default at the same time","No puede poner por defecto un Estado desabilitado"
"","Indicator","Indicador"
"","Reason Required","Razón requerida"
"","Force the user to specify a reason of why is selecting this Status","Forzar al usuario que especifique una razón al seleccionar este Estado"
"","Case Record Activity Type","Tipo de Actividad para Expedientes"
"","Case Record Status","Estado para Expedientes"
"","Case Record Activity Option","Opción de Actividad para Expedientes"
"","Case Record","Registro de Expediente"
"","This cannot be undone. Are you sure you want to continue?","Esto no se puede desahacer. ¿Está seguro que se quiere continuar?"
"","Original Amount","Monto Original"
"","Comission Rate","Tasa de Comisión"
"","Comission Amount","Monto de Comisión"
"","Inclusive Amount","Monto Incluído"
"","Inclusive Amount?","¿Monto Incluído?"
"","Additional Fee","Penalidad Adiccional"
"","Tax Amount","Monto de Impuesto"
"","Refs","Referencias"
"","Is Existing Customer","Es un Cliente Existente"
"","Is Existing Customer?","¿Es un Cliente Existente?"
"","Auto Save on Duplicates","Auto Guardar cuando hayan duplicados"
"","No changes were made!","No se hicieron cambios!"
"","Invoice deleted successfully!","Factura eliminada correctamente!"
"","The Discount Amount cannot be greater than the Outstanding Amount","El Monto de Descuento no puede ser mayor que el Monto Pendiente"
"","Copy & Paste","Copiar & Pegar"
"","Paste to the Next Contact Mean","Pegar al Siguiente Medio de Contacto"
"","Contact Mean","Medio de Contacto"
"","Next Contact Mean","Siguiente Medio de Contacto"
"","Tax amount is included in the comission amount","El monto de impuesto esta incluído en la comissión"
"","Please specify the default Sales Taxes and Charges Template","Por favor especifique la Plantilla de impuestos (Ventas) por defecto"
"","",""
